,deposit,stock,label,PREDICT
0,1410000000,51000000,normal,normal
1,1320000000,54000000,normal,normal
2,1610000000,59000000,diamond,diamond
3,1270000000,68000000,normal,normal
4,1970000000,77000000,vip,vip
5,1540000000,62000000,diamond,diamond
6,1650000000,38000000,diamond,diamond
7,1790000000,78000000,vip,vip
8,1620000000,72000000,diamond,diamond
9,1850000000,63000000,diamond,diamond
10,1760000000,45000000,diamond,diamond
11,1800000000,48000000,diamond,diamond
12,1320000000,58000000,normal,normal
13,1240000000,40000000,normal,normal
14,1920000000,80000000,vip,vip
15,1900000000,58000000,diamond,diamond
16,2000000000,40000000,diamond,diamond
17,1240000000,56000000,normal,normal
18,1970000000,73000000,vip,vip
19,1820000000,56000000,diamond,diamond
20,1600000000,36000000,normal,normal
21,1730000000,36000000,diamond,diamond
22,1970000000,68000000,vip,vip
23,1680000000,69000000,diamond,diamond
24,1270000000,40000000,normal,diamond
25,1790000000,35000000,diamond,diamond
26,1370000000,71000000,diamond,diamond
27,1400000000,79000000,diamond,diamond
28,1390000000,64000000,diamond,diamond
29,1320000000,60000000,normal,normal
30,1960000000,37000000,diamond,diamond
31,1760000000,64000000,diamond,diamond
32,1330000000,52000000,normal,normal
33,1650000000,60000000,diamond,diamond
34,1650000000,64000000,diamond,diamond
35,1950000000,56000000,vip,vip
36,1210000000,53000000,normal,normal
37,1680000000,48000000,diamond,diamond
38,1930000000,50000000,diamond,diamond
39,1510000000,71000000,diamond,diamond
40,1460000000,54000000,normal,normal
41,1550000000,35000000,normal,normal
42,1890000000,46000000,diamond,diamond
43,1860000000,36000000,diamond,diamond
44,1930000000,54000000,diamond,diamond
45,1440000000,66000000,diamond,diamond
46,1580000000,79000000,diamond,diamond
47,1450000000,46000000,normal,normal
48,1460000000,36000000,normal,normal
49,1220000000,79000000,diamond,diamond
50,1350000000,36000000,normal,normal
51,1840000000,38000000,diamond,diamond
52,1200000000,42000000,normal,normal
53,1870000000,66000000,vip,vip
54,1800000000,53000000,diamond,diamond
55,1880000000,44000000,diamond,diamond
56,1940000000,62000000,vip,vip
57,1980000000,58000000,vip,vip
58,1780000000,47000000,diamond,diamond
59,1890000000,74000000,vip,vip
60,1320000000,51000000,normal,normal
61,1530000000,65000000,diamond,diamond
62,1550000000,58000000,diamond,diamond
63,1620000000,69000000,diamond,diamond
64,1520000000,38000000,normal,normal
65,1950000000,80000000,vip,vip
66,1200000000,37000000,normal,normal
67,1290000000,65000000,normal,normal
68,1490000000,68000000,diamond,diamond
69,1710000000,73000000,diamond,diamond
70,2000000000,41000000,diamond,diamond
71,1220000000,57000000,normal,normal
72,1970000000,40000000,diamond,diamond
73,1980000000,67000000,vip,vip
74,1580000000,48000000,diamond,diamond
75,1780000000,59000000,diamond,diamond
76,1410000000,43000000,normal,normal
77,1750000000,41000000,diamond,diamond
78,1250000000,79000000,diamond,diamond
79,1540000000,49000000,diamond,diamond
80,1630000000,69000000,diamond,diamond
81,1960000000,74000000,vip,vip
82,1490000000,44000000,normal,normal
83,1710000000,35000000,diamond,diamond
84,1300000000,53000000,normal,normal
85,1890000000,61000000,diamond,diamond
86,1450000000,39000000,normal,normal
87,1820000000,56000000,diamond,diamond
88,2000000000,74000000,vip,vip
89,1430000000,41000000,normal,normal
90,1250000000,54000000,normal,normal
91,1880000000,36000000,diamond,diamond
92,1780000000,44000000,diamond,diamond
93,1550000000,57000000,diamond,diamond
94,1460000000,48000000,normal,normal
95,1890000000,67000000,vip,vip
96,1920000000,44000000,diamond,diamond
97,1600000000,57000000,diamond,diamond
98,1740000000,41000000,diamond,diamond
99,1640000000,51000000,diamond,diamond
100,1680000000,70000000,diamond,diamond
101,2000000000,67000000,vip,vip
102,1900000000,65000000,vip,vip
103,1890000000,48000000,diamond,diamond
104,1480000000,65000000,diamond,diamond
105,1640000000,77000000,diamond,diamond
106,1340000000,42000000,normal,normal
107,1360000000,69000000,diamond,diamond
108,1280000000,63000000,normal,normal
109,1770000000,59000000,diamond,diamond
110,1990000000,41000000,diamond,diamond
111,1670000000,65000000,diamond,diamond
112,1620000000,72000000,diamond,diamond
113,1840000000,46000000,diamond,diamond
114,1630000000,76000000,diamond,diamond
115,1860000000,75000000,vip,vip
116,1450000000,70000000,diamond,diamond
117,1230000000,43000000,normal,normal
118,1510000000,42000000,normal,normal
119,1770000000,56000000,diamond,diamond
120,1530000000,79000000,diamond,diamond
121,1280000000,68000000,normal,normal
122,1250000000,77000000,diamond,diamond
123,1720000000,39000000,diamond,diamond
124,1300000000,80000000,diamond,diamond
125,1490000000,41000000,normal,normal
126,1530000000,55000000,diamond,diamond
127,1570000000,59000000,diamond,diamond
128,1510000000,76000000,diamond,diamond
129,1330000000,46000000,normal,normal
130,1970000000,44000000,diamond,diamond
131,1480000000,52000000,normal,normal
132,1670000000,58000000,diamond,diamond
133,1390000000,41000000,normal,normal
134,1690000000,62000000,diamond,diamond
135,1320000000,78000000,diamond,diamond
136,1550000000,76000000,diamond,diamond
137,1490000000,75000000,diamond,diamond
138,1770000000,59000000,diamond,diamond
139,1900000000,71000000,vip,vip
140,1990000000,39000000,diamond,diamond
141,1870000000,66000000,vip,vip
142,1550000000,62000000,diamond,diamond
143,1430000000,48000000,normal,normal
144,1760000000,48000000,diamond,diamond
145,1890000000,77000000,vip,vip
146,1850000000,69000000,vip,vip
147,1830000000,63000000,diamond,diamond
148,1800000000,50000000,diamond,diamond
149,1310000000,61000000,normal,normal
150,1910000000,42000000,diamond,diamond
151,1630000000,56000000,diamond,diamond
152,1790000000,53000000,diamond,diamond
153,1440000000,44000000,normal,normal
154,1840000000,54000000,diamond,diamond
155,1200000000,60000000,normal,normal
156,1840000000,55000000,diamond,diamond
157,1460000000,79000000,diamond,diamond
158,1480000000,75000000,diamond,diamond
159,1270000000,42000000,normal,normal
160,1740000000,54000000,diamond,diamond
161,1630000000,72000000,diamond,diamond
162,1580000000,35000000,normal,normal
163,1280000000,75000000,diamond,diamond
164,1990000000,59000000,vip,vip
165,1380000000,67000000,diamond,diamond
166,1280000000,45000000,normal,normal
167,1970000000,58000000,vip,vip
168,1710000000,44000000,diamond,diamond
169,1660000000,54000000,diamond,diamond
170,1580000000,78000000,diamond,diamond
171,1250000000,54000000,normal,normal
172,1920000000,77000000,vip,vip
173,1510000000,56000000,diamond,diamond
174,1950000000,44000000,diamond,diamond
175,1810000000,67000000,diamond,diamond
176,1640000000,44000000,diamond,diamond
177,1430000000,56000000,normal,normal
178,1540000000,60000000,diamond,diamond
179,1890000000,70000000,vip,vip
180,1470000000,72000000,diamond,diamond
181,1880000000,74000000,vip,vip
182,1750000000,58000000,diamond,diamond
183,1540000000,46000000,normal,normal
184,1880000000,48000000,diamond,diamond
185,1290000000,68000000,normal,normal
186,1390000000,57000000,normal,normal
187,1260000000,79000000,diamond,diamond
188,1490000000,71000000,diamond,diamond
189,1750000000,39000000,diamond,diamond
190,1270000000,52000000,normal,normal
191,1420000000,46000000,normal,normal
192,1330000000,50000000,normal,normal
193,1540000000,46000000,normal,normal
194,1670000000,65000000,diamond,diamond
195,1410000000,41000000,normal,normal
196,1230000000,73000000,normal,normal
197,1810000000,49000000,diamond,diamond
198,1900000000,59000000,diamond,diamond
199,1400000000,69000000,diamond,diamond
200,1750000000,56000000,diamond,diamond
201,1700000000,58000000,diamond,diamond
202,1440000000,55000000,normal,normal
203,1670000000,79000000,diamond,diamond
204,1870000000,39000000,diamond,diamond
205,1290000000,75000000,diamond,diamond
206,1230000000,44000000,normal,normal
207,1640000000,58000000,diamond,diamond
208,1520000000,62000000,diamond,diamond
209,1340000000,76000000,diamond,diamond
210,1890000000,61000000,diamond,diamond
211,1850000000,60000000,diamond,diamond
212,1270000000,61000000,normal,normal
213,1790000000,69000000,diamond,diamond
214,1250000000,42000000,normal,normal
215,1620000000,80000000,diamond,diamond
216,1230000000,57000000,normal,normal
217,1990000000,41000000,diamond,diamond
218,1200000000,78000000,normal,normal
219,1210000000,73000000,normal,normal
220,1410000000,69000000,diamond,diamond
221,1630000000,57000000,diamond,diamond
222,1810000000,62000000,diamond,diamond
223,1590000000,51000000,diamond,diamond
224,1840000000,73000000,vip,vip
225,1440000000,67000000,diamond,diamond
226,1630000000,50000000,diamond,diamond
227,1700000000,61000000,diamond,diamond
228,1940000000,38000000,diamond,diamond
229,1480000000,48000000,normal,normal
230,1870000000,58000000,diamond,diamond
231,1950000000,52000000,diamond,diamond
232,1780000000,41000000,diamond,diamond
233,1330000000,50000000,normal,normal
234,1950000000,69000000,vip,vip
235,1630000000,65000000,diamond,diamond
236,1220000000,37000000,normal,normal
237,1270000000,78000000,diamond,diamond
238,1330000000,44000000,normal,normal
239,1480000000,38000000,normal,normal
240,1560000000,75000000,diamond,diamond
241,1520000000,71000000,diamond,diamond
242,1560000000,51000000,diamond,diamond
243,1310000000,66000000,normal,normal
244,1610000000,46000000,diamond,diamond
245,1480000000,71000000,diamond,diamond
246,1920000000,54000000,diamond,diamond
247,1230000000,72000000,normal,normal
248,1940000000,66000000,vip,vip
249,1220000000,79000000,diamond,diamond
250,1690000000,69000000,diamond,diamond
251,1940000000,45000000,diamond,diamond
252,1590000000,74000000,diamond,diamond
253,1270000000,71000000,normal,normal
254,1390000000,42000000,normal,diamond
255,1290000000,40000000,normal,normal
256,1230000000,66000000,normal,normal
257,1200000000,79000000,normal,normal
258,1380000000,35000000,normal,normal
259,1320000000,69000000,diamond,diamond
260,1950000000,36000000,diamond,diamond
261,1790000000,59000000,diamond,diamond
262,1250000000,42000000,normal,normal
263,2000000000,66000000,vip,vip
264,1860000000,68000000,vip,vip
265,1220000000,66000000,normal,normal
266,1640000000,56000000,diamond,diamond
267,1980000000,42000000,diamond,diamond
268,1260000000,78000000,diamond,diamond
269,1440000000,46000000,normal,normal
270,1850000000,58000000,diamond,diamond
271,1630000000,70000000,diamond,diamond
272,1740000000,50000000,diamond,diamond
273,1740000000,68000000,diamond,diamond
274,1290000000,69000000,normal,normal
275,1440000000,55000000,normal,normal
276,1790000000,64000000,diamond,diamond
277,1770000000,53000000,diamond,diamond
278,1600000000,58000000,diamond,diamond
279,2000000000,71000000,vip,vip
280,1410000000,69000000,diamond,diamond
281,1790000000,79000000,vip,vip
282,1730000000,50000000,diamond,diamond
283,1710000000,76000000,diamond,diamond
284,1960000000,46000000,diamond,diamond
285,1340000000,47000000,normal,normal
286,1310000000,43000000,normal,normal
287,1630000000,36000000,normal,normal
288,1550000000,46000000,diamond,diamond
289,1490000000,36000000,normal,normal
290,1500000000,41000000,normal,normal
291,1510000000,73000000,diamond,diamond
292,1960000000,76000000,vip,vip
293,1400000000,47000000,normal,normal
294,1730000000,37000000,diamond,diamond
295,1790000000,79000000,vip,vip
296,1280000000,44000000,normal,normal
297,1570000000,68000000,diamond,diamond
298,1850000000,70000000,vip,vip
299,1890000000,45000000,diamond,diamond
300,1370000000,37000000,normal,normal
301,1690000000,80000000,diamond,diamond
302,1510000000,40000000,normal,normal
303,1750000000,66000000,diamond,diamond
304,1660000000,38000000,diamond,diamond
305,1970000000,43000000,diamond,diamond
306,1210000000,44000000,normal,normal
307,1940000000,55000000,diamond,diamond
308,1700000000,80000000,diamond,diamond
309,1450000000,67000000,diamond,diamond
310,1270000000,40000000,normal,diamond
311,1660000000,44000000,diamond,diamond
312,1510000000,77000000,diamond,diamond
313,1280000000,57000000,normal,normal
314,1300000000,60000000,normal,normal
315,1770000000,49000000,diamond,diamond
316,1210000000,50000000,normal,normal
317,1630000000,44000000,diamond,diamond
318,1880000000,36000000,diamond,diamond
319,1920000000,36000000,diamond,diamond
320,1590000000,51000000,diamond,diamond
321,1220000000,54000000,normal,normal
322,1740000000,49000000,diamond,diamond
323,1940000000,50000000,diamond,diamond
324,1670000000,60000000,diamond,diamond
325,1530000000,51000000,diamond,diamond
326,1630000000,70000000,diamond,diamond
327,1740000000,51000000,diamond,diamond
328,1310000000,55000000,normal,normal
329,1730000000,69000000,diamond,diamond
330,1860000000,71000000,vip,vip
331,1480000000,76000000,diamond,diamond
332,1530000000,54000000,diamond,diamond
333,1710000000,63000000,diamond,diamond
334,1600000000,73000000,diamond,diamond
335,1990000000,74000000,vip,vip
336,1510000000,76000000,diamond,diamond
337,1930000000,78000000,vip,vip
338,1600000000,41000000,diamond,diamond
339,1530000000,69000000,diamond,diamond
340,1890000000,76000000,vip,vip
341,1260000000,47000000,normal,normal
342,1890000000,69000000,vip,vip
343,1260000000,75000000,diamond,diamond
344,1830000000,51000000,diamond,diamond
345,1390000000,76000000,diamond,diamond
346,1700000000,54000000,diamond,diamond
347,1290000000,79000000,diamond,diamond
348,1680000000,36000000,diamond,diamond
349,1310000000,79000000,diamond,diamond
350,1810000000,66000000,diamond,diamond
351,1510000000,42000000,normal,normal
352,1370000000,78000000,diamond,diamond
353,1260000000,59000000,normal,normal
354,1450000000,71000000,diamond,diamond
355,1330000000,63000000,normal,diamond
356,1740000000,51000000,diamond,diamond
357,1290000000,65000000,normal,normal
358,1250000000,39000000,normal,normal
359,1600000000,38000000,normal,normal
360,1750000000,70000000,diamond,diamond
361,1810000000,69000000,diamond,diamond
362,1380000000,79000000,diamond,diamond
363,1780000000,68000000,diamond,diamond
364,1320000000,40000000,normal,normal
365,1270000000,37000000,normal,normal
366,1330000000,55000000,normal,normal
367,1590000000,53000000,diamond,diamond
368,1520000000,43000000,normal,normal
369,1570000000,53000000,diamond,diamond
370,1880000000,49000000,diamond,diamond
371,1920000000,35000000,diamond,diamond
372,1980000000,53000000,vip,vip
373,1690000000,70000000,diamond,diamond
374,1290000000,61000000,normal,normal
375,1410000000,53000000,normal,normal
376,1200000000,55000000,normal,normal
377,1850000000,52000000,diamond,diamond
378,1620000000,60000000,diamond,diamond
379,1470000000,52000000,normal,normal
380,1480000000,36000000,normal,normal
381,1500000000,37000000,normal,normal
382,1860000000,77000000,vip,vip
383,1620000000,41000000,diamond,diamond
384,1830000000,42000000,diamond,diamond
385,2000000000,77000000,vip,vip
386,1690000000,71000000,diamond,diamond
387,1400000000,56000000,normal,normal
388,1580000000,58000000,diamond,diamond
389,1850000000,65000000,diamond,diamond
390,1380000000,74000000,diamond,diamond
391,1940000000,51000000,diamond,diamond
392,1670000000,44000000,diamond,diamond
393,1550000000,43000000,normal,normal
394,1430000000,69000000,diamond,diamond
395,1890000000,42000000,diamond,diamond
396,1820000000,47000000,diamond,diamond
397,1480000000,75000000,diamond,diamond
398,1870000000,52000000,diamond,diamond
399,1930000000,67000000,vip,vip
400,1720000000,60000000,diamond,diamond
401,1590000000,55000000,diamond,diamond
402,1390000000,55000000,normal,normal
403,1350000000,37000000,normal,normal
404,1870000000,36000000,diamond,diamond
405,1930000000,62000000,vip,vip
406,1200000000,50000000,normal,normal
407,1610000000,47000000,diamond,diamond
408,1240000000,78000000,diamond,diamond
409,1480000000,41000000,normal,normal
410,1640000000,40000000,diamond,diamond
411,1740000000,77000000,vip,vip
412,1550000000,50000000,diamond,diamond
413,1400000000,49000000,normal,normal
414,1830000000,74000000,vip,vip
415,1870000000,64000000,vip,vip
416,1860000000,64000000,diamond,diamond
417,1800000000,35000000,diamond,diamond
418,1860000000,69000000,vip,vip
419,1660000000,65000000,diamond,diamond
420,1870000000,50000000,diamond,diamond
421,1670000000,54000000,diamond,diamond
422,1320000000,41000000,normal,normal
423,1610000000,71000000,diamond,diamond
424,1360000000,57000000,normal,normal
425,1400000000,68000000,diamond,diamond
426,2000000000,74000000,vip,vip
427,1480000000,62000000,diamond,diamond
428,1310000000,68000000,normal,normal
429,1440000000,44000000,normal,normal
430,1780000000,80000000,vip,vip
431,1620000000,44000000,diamond,diamond
432,1260000000,57000000,normal,normal
