,label,PREDICT,height,weight,,,,,,,,
0,fat,fat,132,56,,,,,,,,
1,fat,fat,121,62,,,,,,,,
2,normal,normal,172,70,,,,,,,,
3,thin,thin,141,35,,,,,,,,sum
4,fat,fat,125,47,,,,fat ,normal,thin,,6000
5,normal,normal,178,73,,,fat,2346,,,,2346
6,thin,thin,199,64,,,normal,,1782,2,,1784
7,normal,normal,160,49,,,thin,,,1870,,1870
8,thin,thin,154,35,,,,,,,,
9,fat,fat,127,71,,,accuracy,0.999666667,,,,
10,normal,normal,129,41,,,,,,,,
11,fat,fat,141,78,,,,,,,,
12,fat,fat,137,80,,,,,,,,
13,fat,fat,135,55,,,,,,,,
14,thin,thin,189,65,,,,,,,,
15,thin,thin,174,51,,,,,,,,
16,thin,thin,195,44,,,,,,,,
17,normal,normal,132,42,,,,,,,,
18,thin,thin,198,67,,,,,,,,
19,thin,thin,190,62,,,,,,,,
20,normal,normal,175,74,,,,,,,,
21,normal,normal,159,49,,,,,,,,
22,thin,thin,187,39,,,,,,,,
23,normal,normal,160,60,,,,,,,,
24,fat,fat,163,67,,,,,,,,
25,fat,fat,134,47,,,,,,,,
26,thin,thin,194,67,,,,,,,,
27,normal,normal,191,77,,,,,,,,
28,fat,fat,157,68,,,,,,,,
29,fat,fat,141,54,,,,,,,,
30,normal,normal,163,66,,,,,,,,
31,fat,fat,125,67,,,,,,,,
32,thin,thin,175,51,,,,,,,,
33,thin,thin,185,38,,,,,,,,
34,fat,fat,134,65,,,,,,,,
35,fat,fat,131,59,,,,,,,,
36,thin,thin,194,64,,,,,,,,
37,thin,thin,191,62,,,,,,,,
38,thin,thin,187,53,,,,,,,,
39,fat,fat,139,63,,,,,,,,
40,normal,normal,187,65,,,,,,,,
41,fat,fat,120,40,,,,,,,,
42,thin,thin,183,59,,,,,,,,
43,thin,thin,200,61,,,,,,,,
44,normal,normal,200,77,,,,,,,,
45,normal,normal,179,69,,,,,,,,
46,fat,fat,139,74,,,,,,,,
47,fat,fat,159,65,,,,,,,,
48,fat,fat,164,71,,,,,,,,
49,thin,thin,158,35,,,,,,,,
50,thin,thin,159,35,,,,,,,,
51,normal,normal,168,65,,,,,,,,
52,fat,fat,122,74,,,,,,,,
53,normal,normal,132,38,,,,,,,,
54,normal,normal,177,60,,,,,,,,
55,fat,fat,167,75,,,,,,,,
56,normal,normal,128,39,,,,,,,,
57,fat,fat,122,71,,,,,,,,
58,thin,thin,199,67,,,,,,,,
59,thin,thin,182,57,,,,,,,,
60,normal,normal,186,78,,,,,,,,
61,thin,thin,154,36,,,,,,,,
62,thin,thin,200,55,,,,,,,,
63,thin,thin,198,38,,,,,,,,
64,normal,normal,185,71,,,,,,,,
65,fat,fat,140,63,,,,,,,,
66,fat,fat,142,66,,,,,,,,
67,thin,thin,164,45,,,,,,,,
68,normal,normal,192,71,,,,,,,,
69,fat,fat,147,71,,,,,,,,
70,thin,thin,166,42,,,,,,,,
71,normal,normal,158,53,,,,,,,,
72,normal,normal,137,35,,,,,,,,
73,thin,thin,193,36,,,,,,,,
74,fat,fat,136,61,,,,,,,,
75,fat,fat,140,51,,,,,,,,
76,fat,fat,129,69,,,,,,,,
77,thin,thin,182,41,,,,,,,,
78,thin,thin,163,38,,,,,,,,
79,thin,thin,179,35,,,,,,,,
80,fat,fat,139,69,,,,,,,,
81,thin,thin,191,41,,,,,,,,
82,normal,normal,182,72,,,,,,,,
83,thin,thin,162,40,,,,,,,,
84,thin,thin,198,69,,,,,,,,
85,fat,fat,168,73,,,,,,,,
86,fat,fat,137,52,,,,,,,,
87,normal,normal,179,72,,,,,,,,
88,thin,thin,163,35,,,,,,,,
89,normal,normal,177,75,,,,,,,,
90,thin,thin,195,53,,,,,,,,
91,normal,normal,159,63,,,,,,,,
92,normal,normal,121,36,,,,,,,,
93,fat,fat,140,60,,,,,,,,
94,fat,fat,140,77,,,,,,,,
95,thin,thin,185,37,,,,,,,,
96,fat,fat,142,75,,,,,,,,
97,fat,fat,131,75,,,,,,,,
98,thin,thin,154,38,,,,,,,,
99,normal,normal,141,49,,,,,,,,
100,fat,fat,126,43,,,,,,,,
101,normal,normal,135,43,,,,,,,,
102,thin,thin,200,45,,,,,,,,
103,fat,fat,134,59,,,,,,,,
104,fat,fat,140,78,,,,,,,,
105,normal,normal,200,75,,,,,,,,
106,thin,thin,188,64,,,,,,,,
107,fat,fat,144,61,,,,,,,,
108,normal,normal,162,63,,,,,,,,
109,normal,normal,196,80,,,,,,,,
110,fat,fat,128,60,,,,,,,,
111,normal,normal,148,43,,,,,,,,
112,thin,thin,197,42,,,,,,,,
113,thin,thin,191,37,,,,,,,,
114,fat,fat,154,80,,,,,,,,
115,normal,normal,168,65,,,,,,,,
116,normal,normal,132,35,,,,,,,,
117,fat,fat,135,68,,,,,,,,
118,fat,fat,123,46,,,,,,,,
119,normal,normal,142,45,,,,,,,,
120,thin,thin,154,42,,,,,,,,
121,thin,thin,167,47,,,,,,,,
122,thin,thin,165,35,,,,,,,,
123,normal,normal,159,56,,,,,,,,
124,fat,fat,135,77,,,,,,,,
125,fat,fat,137,69,,,,,,,,
126,normal,normal,149,48,,,,,,,,
127,normal,normal,136,39,,,,,,,,
128,fat,fat,147,56,,,,,,,,
129,thin,thin,195,53,,,,,,,,
130,normal,normal,171,61,,,,,,,,
131,fat,fat,127,73,,,,,,,,
132,thin,thin,163,38,,,,,,,,
133,normal,normal,175,66,,,,,,,,
134,thin,thin,191,55,,,,,,,,
135,fat,fat,142,77,,,,,,,,
136,fat,fat,144,72,,,,,,,,
137,normal,normal,169,60,,,,,,,,
138,normal,normal,152,55,,,,,,,,
139,normal,normal,194,77,,,,,,,,
140,normal,normal,193,78,,,,,,,,
141,normal,normal,158,61,,,,,,,,
142,fat,fat,157,73,,,,,,,,
143,thin,thin,200,72,,,,,,,,
144,normal,normal,195,71,,,,,,,,
145,thin,thin,192,42,,,,,,,,
146,thin,thin,195,44,,,,,,,,
147,fat,fat,132,56,,,,,,,,
148,thin,thin,155,43,,,,,,,,
149,fat,fat,135,49,,,,,,,,
150,normal,normal,172,73,,,,,,,,
151,normal,normal,187,76,,,,,,,,
152,thin,thin,196,43,,,,,,,,
153,normal,normal,175,63,,,,,,,,
154,normal,normal,174,64,,,,,,,,
155,thin,thin,148,38,,,,,,,,
156,thin,thin,147,35,,,,,,,,
157,normal,normal,177,66,,,,,,,,
158,normal,normal,184,64,,,,,,,,
159,normal,normal,190,76,,,,,,,,
160,thin,thin,156,45,,,,,,,,
161,thin,thin,197,42,,,,,,,,
162,normal,normal,163,62,,,,,,,,
163,thin,thin,174,39,,,,,,,,
164,thin,thin,166,41,,,,,,,,
165,fat,fat,175,78,,,,,,,,
166,normal,normal,130,39,,,,,,,,
167,thin,thin,186,43,,,,,,,,
168,thin,thin,173,47,,,,,,,,
